,created_at,screen_name,text
88,9/8/2019 7:55,Karolina_bee11,"@Mey_MeynieJT @shinichikudo991 @03_Nakula @B1G__K4Y_jr @Vivittts @P3nj3l4j4h @Gustriawan KPAI buta huruf secara fungsional Kak.. paranoid dengan tulisan Djarum di kaos Olga anak yg digunakan utk audisi dan berlatih! 
Sampai Djarum ngalah.. akhirnya anak2 pakai kaos dri club asalnya masing2 utk audisi <U+0001F62B>

begini baget cara mainnya ke Djarum!

Memalukan @KPAI_official"
89,9/8/2019 7:48,Karolina_bee11,"Mungkin menurut KPAI.. dan Yayasan Lentera Anak.. 

Bagi mereka anak2 dipakaiin cadar dan diajak kampanye lerijiyees seperti HTI lebih baik, dripada dibina minat bakatnya untuk berolahraga dan berprestasi..
Apalagi dibiayai oleh perusahaan rokok, yg Haram menurut mereka!  <U+0001F62D><U+0001F62D> https://t.co/IsdeZX4yQO"
90,9/8/2019 7:57,Wingmannnnnnnn,"@enienie @SkyIndonesia_ @indosupporter @KPAI_official Wah kepo nih, dpt dana dari bloomberg?"
91,9/8/2019 7:57,iIhamzada,"Mahabenar @KPAI_official dengan segala sabda nya. Hormat kami buat kalian, salam juga kepada @lenteraanak_ 
Kalian sungguh luar biasa. Luv u full
https://t.co/Gq8vlQ7SRC"
92,9/8/2019 7:57,ersyafm,"Saya RT &amp; LIKE tweet ini untuk saya ingat2 sendiri. Kalau kedepannya Badminton Indonesia terpuruk total secara drastis, itu adalah karena ulah @lenteraanak_ @KPAI_official yang mengatasnamakan ""perlindungan anak"" padahal ujung-ujungnya karena demi mendapatkan kucuran dana segar."
93,9/8/2019 7:54,___raffly,"Saya RT &amp; LIKE tweet ini untuk saya ingat2 sendiri. Kalau kedepannya Badminton Indonesia terpuruk total secara drastis, itu adalah karena ulah @lenteraanak_ @KPAI_official yang mengatasnamakan ""perlindungan anak"" padahal ujung-ujungnya karena demi mendapatkan kucuran dana segar."
94,9/8/2019 7:53,___raffly,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
95,9/8/2019 7:52,___raffly,"Puas Kalian @KPAI_official ..??
Klian kmna saat ad ank teriak Bunuh &amp; Pawai HTI..?
Klian kmna saat ada ank kecil jdi Korban Predator anak..??
Klian lebih memilih menutup pintu cita2 anak bangsa
Kalian BANGSAT..

@KEMENPORA_RI kmn?
Kok memilih Bungkam? 

 https://t.co/2UPsCJP72t"
96,9/8/2019 7:57,___raffly,@boleh_merokok @KPAI_official @lenteraanak_ #pbdjarumjanganpamit
97,9/8/2019 7:55,___raffly,@AlbertShadrach @lenteraanak_ @KPAI_official #pbdjarumjanganpamit
98,9/8/2019 7:55,dhymasYND,@augustliem @AREMA1986Merch @Senaputra_FM @KPAI_official Dan @KPAI_official dapat 10m sekian
99,9/8/2019 7:57,dhymasYND,"Buat yang bilang ""Kalau PB Djarum memang ingin membina bulutangkis, jangan pakai nama Djarum""

Ini pihak PB Djarum sudah menawarkan tidak pakai nama Djarum &amp; anak-anak audisi tidak diberi kaos Djarum, namun tetap ditolak @KPAI_official https://t.co/g4xWj3ugNn"
100,9/8/2019 7:56,dhymasYND,@AREMA1986Merch @deviddwi_ @augustliem @Senaputra_FM @KPAI_official bisa dikategorikan suap / gratifikasi a bes ngono iku?
101,9/8/2019 7:55,dhymasYND,@AREMA1986Merch @Senaputra_FM @KPAI_official 3M bos cair makanya ngotot https://t.co/JdhnT5uggh
102,9/8/2019 7:52,dhymasYND,"@akaemael_ @KPAI_official demokrasi mas , kebebasan bersuara <U+0001F60A>"
103,9/8/2019 7:57,ilhamrsli,50 Tahun eksploitasi anak versi @lenteraanak_ @KPAI_official https://t.co/IFKkVHQDol
104,9/8/2019 7:57,gndrgbercerita,"Sudah 50 tahun PB Djarum berkontribusi untuk negeri di bidang bulutangkis, tak sedikit atlet-atlet jebolan dari Audisi PB Djarum mengharumkan nama Indonesia di kancah Internasional. Kini PB Djarum dituduh mengeksploitasi anak oleh KPAI. 
#PBDjarumJanganPamit https://t.co/a10vlVRMd0"
105,9/8/2019 7:57,EsaBaguzz,"Atas bubarnya Audisi Calon-Calon Juara Dunia Bulu Tangkis, dimohon teman-teman jangan terprovokasi ya!

Kita doakan saja KPAI nanti juga minta Penyelenggara bola Indonesia bubar karena menayangkan kekerasan yg ga mendidik. #TerimakasihKPAI https://t.co/CRO5u2sMyR"
106,9/8/2019 7:57,ibilswidodo,@boleh_merokok @KPAI_official @lenteraanak_ Ada?
107,9/8/2019 7:57,afrianlestyanto,"Saya RT &amp; LIKE tweet ini untuk saya ingat2 sendiri. Kalau kedepannya Badminton Indonesia terpuruk total secara drastis, itu adalah karena ulah @lenteraanak_ @KPAI_official yang mengatasnamakan ""perlindungan anak"" padahal ujung-ujungnya karena demi mendapatkan kucuran dana segar."
108,9/8/2019 7:46,J_Aryoko,"@CandraMalik Ayo KPAI, tunjukkan kemampuanmu yang melegenda itu.
Kemampuan apa? Oh ya, ternyata selama ini KPAI belum menghasilkan apa-apa ya."
109,9/8/2019 7:57,J_Aryoko,"@BoedyMard @WR_4AG226 @PBDjarum @AgungWidrajat @KPAI_official @lenteraanak_ Djarum hasilnya nyata, para pemain profesional bulu tangkis kelas dunia. Sejarah mencatat, Djarum menyediakan panggung pengembangan minat dan bakat anak Indonesia menjadi talenta kelas dunia.

Sedangkan, KPAI dan Lentera hanya mencari panggung donasi dengan memasung bakat anak."
